League,Year,Elite_N
LCK,2018,34
LCK,2019,33
LCK,2020,32
LCK,2021,44
LCK,2022,42
LCK,2023,36
LCK,2024,36
LPL,2018,63
LPL,2019,63
LPL,2020,61
LPL,2021,62
LPL,2022,61
LPL,2023,60
LPL,2024,78
